#wavelength	intensity
#Argon lines
7503.869	20000
7635.106	25000
7948.176	20000
8006.157	20000
8014.786	25000
8103.693	20000
8115.311	35000
8264.522	10000
8408.210	15000
8424.648	20000
8521.442	15000
#Neon lines
5770.3067	500 
5852.4878	20000
5881.8950	10000
5944.8340	20000
6074.3376	40000
6096.1630	12000
6143.0627	40000
6163.5937	40000
6217.2812	40000
6266.4952	40000 
6304.7983	30000
6334.4276	120000
6382.9914	150000
6402.248	340000
6506.53		160000
6532.88		60000
6598.95		60000
6678.2		100000
6717.04		90000
6929.47		110000
7032.4128	360000
7173.938	20000
7245.1665	150000
7438.8981	40000
7488.8712	20000
7535.7739	18000
7724.6233	6000
8377.61		20000
8495.36		10000
8591.2583	4100
8634.6472	3500
